,Passy,Chamonix,Marnaz
Industrial,0.39142222268402393,,
Sea/road salt,0.16757549868540636,0.11402712879536589,0.01140692600340103
Primary bio,0.07847019391177724,0.05377913578272703,0.04383184552366471
Mineral dust,0.07250825043212478,-0.02759182496357046,0.0193849721971185
Vehicular,0.38406026431697493,0.14088602902538563,0.11913367693843424
Secondary bio,0.04585249239880314,0.10059693446758738,0.06593829890284257
Sulfate-rich,-0.014622319759697817,0.03223329722057698,0.005977524144483431
Nitrate-rich,-0.0014086043076147262,-0.08183203614379538,-0.05673526433079472
Bio. burning,0.26040427656157306,0.23159454500666146,0.18133338722518652
